extraction	system	goal	scope	state	evidence
1	Render	1	per-system	met	ADR-0154 — goal #1 is bought at the DECISION level; ADR-0110 dec. 1 lifts rather than rewrites, and the "analog, authored fresh" rule cited against it has no source in ADR-0112. Five decisions cost more than keeping what was there (ADR-0147 dec. 1/3/4, ADR-0150, ADR-0151, ADR-0152). Closes #395
1	Render	2	per-system	met	CONTEXT.md → Extraction #1 translation table (`Render`), 7 rows; ADR-0147
1	Render	3	per-system	met	ADR-0154 — `declined` is not deadness (ADR-0135 dec. 11, and tools/residue.py's own class list); the deletion is the declined SCENE's, scheduled at pass 5. addons/exmateria_render/debug/depth_debug.gdshader is preloaded only by the declined src/scenes/DepthDebugScene.gd, and the drop is already recorded in ADR-0135. The test fails on orphan/cluster/test/tool and reports declined
1	Render	4	per-system	met	28 guards, docs/BASELINE.tsv frozen by data_sha256, tools/check_baseline.py --delta, ADR-0148
1	Render	5	per-system	met	ADR-0151 — the two debug panels declared nothing and are deleted; 0 cross-system reach lines, held by tools/check_addon_portability.py. Closes #393 for Render ADR-0171 dec. 6 — measured over a 707-line addon that still held the display port; after ADR-0171 dec. 3 moves it the addon is 447 lines and the finding holds for the fold bracket alone, which carries no outbound system reach either.
1	Render	6	per-domain	n/a	ADR-0142 — an asset belongs to the system that owns its format, and Render owns no ROM-derived format; classify_blueprint books zero assets/ files to Render
1	Render	7	per-system	met	ADR-0150 — 0 content-jargon lines. The 29 platform lines sort as EXEMPT (ADR-0117 row 10 + dec. 6: the PSX look is Render's subject) and are reported, not suppressed. Zero of kind `rename` and zero of kind `membership` ADR-0171 dec. 6 — 26 of the 29 are PSXDisplay.gd's (tools/score_goals.py reads PSXDisplay.gd x26, depth_debug.gdshader x3) and they leave with the file at loop pass 6, dropping Render to 3. The exemption is ADR-0150's and restricted to Render, so the 26 arrive in a bucket where none exists; ADR-0171 dec. 4's rename to DisplayCalibration is what discharges them rather than importing the defect.
1	Render	8	per-system + E1	open	ADR-0152 — CODE HALF DONE: the fold quantize is a push-constant policy (FoldSurface.quantize_levels, default 31.0, verified by tests/FoldQuantizePolicyTest.gd) and PAR's four dead constants are deleted, the live number living in the host's project.godot. REGISTER HALF BLOCKED: the known-drops register is epilogue E1, and #8's words require the recording
1	Render	9	per-system	met	ADR-0147 — EngineFoldCompositor re-booking and two mis-bookings fixed; ADR-0148 — three instrument defects fixed
1	Render	10	per-domain	n/a	ADR-0143 — the root set is eleven scenes and Render ships none of them; the addon has no authoring surface
2	Audio	1	per-system	met	ADR-0154 dec. 3 — goal #1 is bought at the DECISION level, and ADR-0110 dec. 1 lifts rather than rewrites. ADR-0153's ten decisions were argued over five rounds on their merits: dec. 1 refuses to widen WALK_ROOTS on three grounds, dec. 2 splits the driver at the SPU/bus line, dec. 4 makes the seam one host adapter. The `analog, authored fresh` rule cited against a lift has no source in ADR-0112, and three further sites asserting it were corrected at this pass
2	Audio	2	per-system	met	CONTEXT.md → Extraction #2 translation table (`Audio`); its rows come from ADR-0136 dec. 4 (smd-player → exmateria-sound) and #407 (SMDOpcodes → SoundOpcodes)
2	Audio	3	per-system	unscorable	#405 / ADR-0153 dec. 1 — docs/RESIDUE.tsv is derived over WALK_ROOTS and this package is deliberately outside it, so `no rows` is not `no residue`. tools/residue.py prints that limit on every run, generated from the list rather than from prose, instead of reporting a clean register
2	Audio	4	per-system	open	ADR-0148 / ADR-0153 dec. 1 — no guard enters this package, so every guard is green because it no longer looks. Three READINGS were added instead (#402 the EXTRACTED row and CONSERVATION block, #403 a second scan root for the anchor guard, #405 pass 8's blind-spot line) and a reading is not a guard
2	Audio	5	per-system	met	0 cross-system reach lines leave the addon, measured by tools/score_goals.py over the package; ADR-0153 dec. 9 predicted 0 and measured 0. tools/check_addon_portability.py carries the same claim for the in-walk addons and structurally cannot see this one — the #405 limit, again
2	Audio	6	per-domain	open	ADR-0142 — `Audio` OWNS three ROM-derived formats (SMD, FEDS, WAVESET), so unlike `Render` it can exercise #6 and `n/a` is not available to it. The assets are a ROM transcription today: #304 records that no authoring verb can create a bank, a track or a pair. Whether an FFT container codec belongs in the addon at all is ADR-0117 dec. 12's question, which ADR-0153 explicitly does not answer and #392 assigns to map #373
2	Audio	7	per-system	open	ADR-0153 dec. 10 — 122 content-jargon lines and ZERO platform lines (`smd` 59, `waveset` 55, `fft` 9; zero psx/rgb555/clut/tpage/vram/libgpu/gte on any CODE line of the package, which models a PSX SPU; they do appear on 18 comment lines in 11 files, which is goal #7 working — it is about vocabulary, and ADR-0149's rule strips comments). Zero of kind `rename`: SMDOpcodes was 103 of the 171 and #407 retired it, leaving 0 occurrences. All 122 sort as `membership` — goal #6's question, not a rename. No exemption is available: ADR-0150 restricts it to `Render` on ADR-0117 row 10
2	Audio	8	per-system + E1	open	ADR-0152 — CODE HALF DONE: the PSX voice budget is a policy the bracket is given (`voice_mode` FAITHFUL/UNLOCKED), declared by `tunables()` on `audio.voice_mode` with a `static var VOICE_MODE_DEFAULT` home and an `enum` hint, bound + pushed by AudioHostAdapter (ADR-0153 dec. 3, ADR-0113, ADR-0068 R1). This row CLAIMED that before it was true — `tunables()` returned two rows and neither was this, so the declaration, the slug and the panel row did not exist; it also did NOT predate the extraction. Built and verified end to end by tests/SpuAudioPanelTuneFieldTest.gd (15 asserts): the slug scrubs, the engine rebuilds its units, and the row renders an OptionButton rather than a bare int. REGISTER HALF BLOCKED on the epilogue E1 known-drops register that also blocks `Render`, so #8 is blocked on the epilogue rather than on `Audio`
2	Audio	9	per-system	met	ADR-0153 dec. 2 splits the driver at the SPU/bus line rather than moving it whole; #406 takes 33 files out of a `shared/` that shared nothing; #407 renames the shared VM off one container's name; #408 inverts config into a host adapter (ADR-0113). Three instruments were repaired in the same pass — #402, #403, #405 — and ADR-0154 dec. 1's phantom citation was found at three further sites and corrected
2	Audio	10	per-domain	n/a	ADR-0143 — the root set is eleven scenes (docs/ROOT_SET.tsv) and the package ships none of them. The FEDS/SFX authoring surface is `Effects`-booked and stays in the host (src/effects/studio/); the addon has no authoring surface
3	Battlefield	1	per-system	met	ADR-0154 dec. 3 — goal #1 is bought at the DECISION level, and ADR-0110 dec. 1 lifts rather than rewrites. Extraction #3 ran eleven passes and argued the seam rather than inheriting it: ADR-0164 makes the lattice one port and one publish and refuses to let Tile cross; ADR-0166 finds occupancy spelled five ways in Battle and Battlefield's sixth INERT; ADR-0202 rules the install term two passes had printed and stepped over; ADR-0204 corrects its own sibling's scale before building. The `analog, authored fresh` rule cited against a lift still has no source in ADR-0112
3	Battlefield	2	per-system	met	CONTEXT.md carries translation table (`Battlefield`)
3	Battlefield	3	per-system	open	docs/RESIDUE.tsv — addons/exmateria_battlefield/lattice/TerrainFixture.gd (292 lines) is unclaimed and classifies `test`, and ADR-0154 dec. 5 fails goal #3 on `orphan`, `cluster`, `test` and `tool`, reporting only `declined`. FLIPPED met -> open 2026-09-04 by ADR-0227 dec. 6. This row previously read `met` on the evidence `no unclaimed file under addons/exmateria_battlefield`, which was true of the register and false of the tree: closure.py read ADR-0211 dec. 2's façade publication table as 51 real edges, so every published member was reachable by publication rather than by use and this file could not appear. The score was not `met` and then broken — it was never measured. The remedy is `Battlefield`'s and it is a decision, not a deletion: the fixture is a shipped seam over the production builder (ADR-0218) that nothing but 11 tests reaches, so either a production namer is missing, or its home is addons/exmateria_battlefield/tests/ (ADR-0194 dec. 2), where the walk's subject excludes it and goal #3 closes cleanly
3	Battlefield	4	per-system	met	in classify_blueprint.WALK_ROOTS — unlike `Audio`, this system extracted INSIDE the walk (ADR-0153 dec. 1 is the contrast), so all 52 tools/check_*.py still look at it
