# docs/PREFLIGHT-TIMING.tsv — where the static pre-flight's wall clock goes.
#
# GENERATED by `uv run python tools/time_preflight.py --tsv docs/PREFLIGHT-TIMING.tsv`.
# Re-takeable on any commit; nothing reads this file, so a stale row misleads a
# reader and fails nothing. Re-take before quoting a number from it.
#
# TAKEN: 2026-09-07, re-take for Lane B iteration 10 @ a2b06aac4 (the take ran
# on the dirty tree that became that commit), worktree fft-monorepo-testaudit,
# Godot 4.8.dev.custom_build. 84 steps, 157.98 s total (2.6 min).
#
# ⚠️ THE BOX WAS NOT QUIET. Two other sessions (fft-monorepo-746,
# fft-monorepo-pfrank) were running godot tests + their own pre-flight during
# the take, so every absolute number here is INFLATED. The ranking is not a
# contention artifact — the top step is 62 s against a median of ~0.05 s — but
# do not quote the totals as a clean measurement.
#
# ANOMALIES ON THE TAKE — BOTH EXPLAINED, NEITHER A REGRESSION:
#  - check_adr_classification.py exit 1 (line 607): NOT contention. That step
#    regenerates docs/adr/AUDIT.md in place via gen_adr_audit.py; the audited
#    tool edits moved per-ADR citation counts, so the first pass wrote the
#    regenerated file and reported "STALE AUDIT.md" (exit 1). Subsequent runs
#    are rc 0, regeneration verified idempotent, AUDIT.md committed in
#    a2b06aac4.
#  - gen_activity_taxonomy.py exit 2 x2 (lines 153/156): rc 2 = GenError
#    "could not reach a destination"; a 0.01 s step is a startup failure under
#    contention. 3/3 clean re-runs with the pre-flight's own invocation
#    ((cd tools && uv run python gen_activity_taxonomy.py --check)).
#
# WHY THIS IS SUITE COST. `run_tests_parallel.py` shells out to
# `run_all_tests.sh --preflight-only` and WAITS. The pre-flight is serial time at
# the head of every full run: it does not overlap the N-way pool, so a minute here
# is a minute of wall clock at any N.
#
# AUDITED: `unittest test_check_addon_portability` — outcome: MAKE IT CHEAPER.
# 253.06 s -> 62.17 s (~4x): 13 of 69 arms re-ran the same whole-tree walk on an
# unchanged tree; the clean-tree arms now share ONE walk cached on a tree
# signature, and the seeded arms walk fresh so the cache cannot swallow a seed.
# Three full walks remain: 2 in-process (clean + one seeded cache-miss) and 1
# as-shipped subprocess (Arm4c, the __main__ exit-code proof).
#
# NEXT UNAUDITED TOP ROW: `unittest test_check_lattice_scene` (43.42 s here).
#
line	step	seconds	exit
839	unittest test_check_addon_portability	62.17	0
965	unittest test_check_lattice_scene	43.42	0
832	check_addon_portability.py	19.87	0
925	unittest test_check_lattice_publish	10.57	0
904	unittest test_check_lattice_ports	4.31	0
884	unittest test_check_lattice_doors	1.60	0
607	check_adr_classification.py	1.46	1
991	unittest test_check_addon_install	1.15	0
393	check_no_global_rd_for_compute.py	0.95	0
1028	check_unit_progression_resource.py	0.80	0
611	check_adr_anchors.py	0.70	0
956	check_lattice_scene.py	0.61	0
857	unittest test_score_goals	0.58	0
438	unittest test_check_addon_globals	0.55	0
918	check_lattice_publish.py	0.52	0
380	check_adr_quotes.py	0.50	0
635	check_location_ownership.py	0.48	0
555	check_fold_shader_preload.py	0.44	0
784	check_res_paths.py	0.41	0
298	unittest test_check_test_list_coverage	0.41	0
484	check_tonemap.py	0.39	0
203	unittest test_check_location_ownership	0.33	0
615	check_context_index.py	0.32	0
218	unittest test_verdict_reader	0.31	0
121	unittest test_build_roster_timeline	0.31	0
822	check_mount_node_paths.py	0.28	0
280	unittest test_check_test_verdict_channel	0.21	0
684	check_unit_shader_paths.py	0.21	0
1018	check_rosters_retired.py	0.20	0
897	check_lattice_ports.py	0.20	0
658	check_terrain_level.py	0.20	0
194	unittest test_materialize_tunables	0.19	0
644	check_no_raw_psx_units.py	0.18	0
879	check_lattice_doors.py	0.17	0
594	check_no_env_vars.py	0.16	0
673	check_highlight_writer.py	0.15	0
453	unittest test_reference_goldens	0.15	0
721	check_vault_anchors.py	0.14	0
316	check_test_charter.py	0.14	0
1058	check_body_sprite_id_naming.py	0.14	0
694	check_debug_panel_tunables.py	0.12	0
1008	check_path_extends.py	0.11	0
573	check_battle_materials.py	0.10	0
707	check_tune_owner_self_registration.py	0.09	0
806	check_snapshot_union.py	0.08	0
984	check_addon_install.py	0.08	0
112	build_roster_timeline.py	0.08	0
176	unittest test_gen_activity_taxonomy	0.08	0
510	unittest test_check_compositor_routing	0.07	0
276	check_test_verdict_channel.py	0.06	0
462	check_depth_shaders.py	0.06	0
344	unittest test_check_guard_registry	0.06	0
367	check_blueprint_walk.py	0.06	0
503	check_compositor_routing.py	0.06	0
472	check_color_shaders.py	0.06	0
1038	check_sprite_stretch_globals.py	0.06	0
