adr	dec	status	verified_on	evidence	proposed_guard
0001	*	complete	2026-08-28	audit-notes/0001.md	
0001	1	unreviewed	2026-08-28	audit-notes/0001.md	
0001	2	unreviewed	2026-08-28	OPEN QUESTION, recorded not guessed: decision 2 rejects a neutral schema file, but `LOGICAL_ACTIVITY_*` is generated from `tools/activity_taxonomy.yaml` into BOTH sides including a GENERATED region in	
0001	3	unreviewed	2026-08-28	audit-notes/0001.md	
0001	4	unreviewed	2026-08-28	audit-notes/0001.md	
0001	5	unreviewed	2026-08-28	audit-notes/0001.md	
0001	6	unreviewed	2026-08-28	audit-notes/0001.md	
0001	7	unreviewed	2026-08-28	audit-notes/0001.md	
0001	8	unreviewed	2026-08-28	audit-notes/0001.md	
0001	9	unreviewed	2026-08-28	audit-notes/0001.md	
0004	*	complete	2026-08-28	audit-notes/0004.md	
0009	*	half-landed	2026-08-28	Decs. 1-2 and 4-8 built; dec. 3 has six live violations on check_depth_shaders.py's BURN_DOWN (#363). Seam and DepthMode.gd both live in addons/exmateria_schema/compositing_key/ since ADR-0146. See audit-notes/0009.md.	
0009	1	built	2026-08-28	The seam ships as psx_ot_depth(vec3 point, mat4 proj, mat4 to_view, int mode) and the oracle as DepthMode.ot_depth(point, proj, view, mode). The ADR's five-parameter signature was stale: view + inv_view collapsed into to_view. Content unchanged.	
0009	2	built	2026-08-28	Defined once at addons/exmateria_schema/compositing_key/psx_ot_depth.gdshaderinc; 21 files #include it directly and check_depth_shaders.py builds SEAM_RES from that directory. A relocation, not a retirement - the ADR's path was the only stale copy.	
0009	3	violated	2026-08-28	102 shaders walked, 6 write DEPTH outside the seam: changejob_cylinder_fold, formation_band/box/box_sub/orb_rim/shadow_fold, all src/ui3/shaders/. Listed rather than exempted; #363 says the list makes no claim which they are.	Per-file exempt-or-route call on the six src/ui3/shaders/ violators (#363). Their neighbours vitals_bar / vitals_sprite / menu_cursor_shadow took psx-ot-depth-exempt: on the identical rung-Z rationale.
0009	4	built	2026-08-28	Per-face CUSTOM0 for multi-face meshes (map, callbacks, projectile ensembles), per-object MODEL_MATRIX[3] for single primitives; tri_centroid / quad_centroid are statics on DepthMode. The 2026-06 addendum's 'primitive count, not node-ness' is now dec. 4.	
0009	5	built	2026-08-28	addons/exmateria_schema/compositing_key/DepthMode.gd holds Mode (ten members - 0-5 ROM, 6-9 project nudges), UNITS_PER_OT_BUCKET := 0.19, the FIXED_* depths and apply(). The ADR's src/core/ path was stale in two places.	
0009	6	built	2026-08-28	ot_depth (reversed-Z NDC, raster occlusion) and ot_order_z (linear view-space Z, bucketed) are separate statics on DepthMode. Promoted from the 2026-07 addendum, which called itself 'no new decision' while introducing the split that fixed #212.	
0009	7	built	2026-08-28	OTDepthPrimOrder resolves equal-depth prims by particle age, newest last/on-top, a stable secondary sort pass. Guarded by OTDepthPrimOrderTest's _test_prim_order_age_tie_break and _test_prim_order_depth_separates_over_age. Supersedes #214's rule.	
0009	8	built	2026-08-28	Probe-verified 2026-07-20: RenderSceneData.get_cam_projection() is reversed-Z (near 1, far 0), Camera3D.get_camera_projection() is standard (near -1, far +1). The CPU-packing consolidation was retired on this ground and its dead _frame_proj deleted.	
0012	*	complete	2026-08-28	audit-notes/0012.md	Warn loudly when has_timeline is false but the cast bears emitters (EffectInstance) — today it is a silent no-start.
0014	*	complete	2026-08-28	audit-notes/0014.md	
0014	1	built	2026-08-28	EffectTimeline.gd _update_time_scale + _p1_local_frame/_for_each_local_frame; ParticleSubsystem has no time_scale_factor	
